# BGI DATA EXTRACTION
# REQUEST : latitude =38.30000000/41.80000000  longitude =-84.90000000/-80.50000000  country=102
# source	lat(deg)	long(deg)	alt(m) 	g(mgal)
31020015 40.32310000 -84.89990000 320.5 980105.99
31020015 40.36630000 -84.89990000 297.5 980113.56
31020015 40.39660000 -84.89990000 285.9 980116.49
31020489 39.05830000 -84.89990000 150.5 980000.00
31020489 41.07660000 -84.89990000 233.9 980209.80
31020552 40.51280000 -84.89880000 262.7 980136.51
31020552 40.41830000 -84.89710000 281.0 980118.76
31020015 40.41810000 -84.89660000 281.1 980118.82
31020713 38.79400000 -84.89630000 143.3 979995.80
31020566 39.21740000 -84.89490000 268.2 980000.57
31020552 39.55280000 -84.89080000 312.7 980041.53
31020552 39.59660000 -84.89030000 318.8 980043.43
31020489 41.61660000 -84.88990000 317.2 980221.20
31020552 39.76290000 -84.88990000 321.6 980031.51
31020552 39.85990000 -84.88830000 325.2 980037.73
31020489 39.83830000 -84.88660000 295.3 980040.90
31020489 40.41660000 -84.88660000 281.4 980119.70
31020552 40.54190000 -84.88630000 264.9 980138.37
31020489 41.53160000 -84.88490000 270.7 980230.10
31020552 39.70580000 -84.88380000 336.9 980025.12
31020552 39.73410000 -84.88380000 327.4 980027.76
31020552 39.80660000 -84.88380000 308.2 980036.56
31020489 38.86660000 -84.88330000 266.7 979974.10
31020566 39.27690000 -84.88330000 167.0 980031.02
31020713 38.85030000 -84.88300000 249.3 979977.10
31020552 40.58540000 -84.88280000 256.6 980141.13
31020552 40.30940000 -84.88190000 324.0 980104.34
31020552 40.33830000 -84.88160000 314.5 980111.69
31020552 40.39690000 -84.88160000 286.2 980118.40
31020552 40.23690000 -84.88110000 321.9 980089.60
31020552 39.63290000 -84.88040000 320.0 980041.34
31020552 39.66190000 -84.88040000 313.6 980035.17
31020552 39.68740000 -84.88040000 338.0 980025.79
31020015 40.30960000 -84.87990000 324.0 980104.53
31020015 40.54290000 -84.87830000 265.5 980138.75
31020552 39.91780000 -84.87830000 333.8 980042.70
31020552 39.71910000 -84.87580000 337.4 980025.20
31020015 39.73330000 -84.87330000 336.7 980026.06
31020489 41.15490000 -84.87330000 228.2 980218.30
31020489 41.75830000 -84.87330000 328.3 980225.90
31020552 39.74880000 -84.87110000 324.3 980029.65
31020552 39.78380000 -84.87110000 331.0 980030.35
31020048 41.07330000 -84.86990000 233.2 980208.80
31020552 40.62940000 -84.86880000 260.9 980142.86
31020489 39.40490000 -84.86830000 311.8 980024.00
31020552 39.70710000 -84.86830000 340.9 980024.05
31020552 40.60040000 -84.86830000 268.2 980139.58
31020552 39.70030000 -84.86790000 341.2 980024.61
31020015 40.00610000 -84.86660000 365.7 980048.22
31020489 40.92490000 -84.86660000 250.4 980192.00
31020552 39.71290000 -84.86580000 338.3 980024.80
31020566 39.34690000 -84.86530000 254.5 980028.00
31020489 38.99830000 -84.86490000 149.7 979997.60
31020552 39.72330000 -84.86410000 341.6 980024.39
31020552 40.48410000 -84.86410000 271.3 980129.69
31020552 40.44780000 -84.86380000 284.4 980123.60
31020552 40.41830000 -84.86330000 282.8 980122.27
31020552 40.30940000 -84.86280000 325.8 980104.89
31020552 40.33860000 -84.86280000 318.5 980112.47
31020552 40.35990000 -84.86240000 302.4 980117.01
31020566 39.46960000 -84.86240000 312.1 980034.29
31020552 39.59740000 -84.86210000 318.5 980046.74
31020489 39.50490000 -84.86160000 309.1 980040.90
31020552 39.68660000 -84.86160000 338.0 980026.59
31020552 39.73490000 -84.86130000 343.0 980024.64
31020552 40.56740000 -84.86040000 257.0 980141.45
31020363 38.48990000 -84.85990000 264.9 979935.30
31020552 40.58610000 -84.85880000 262.7 980140.48
31020552 40.38190000 -84.85780000 296.9 980119.18
31020552 40.51360000 -84.85710000 269.8 980134.44
31020552 39.71290000 -84.85690000 342.2 980024.20
31020015 39.79330000 -84.85660000 336.5 980029.42
31020566 39.13660000 -84.85580000 160.9 980006.99
31020552 39.71110000 -84.85540000 345.1 980023.63
31020552 39.70030000 -84.85440000 342.0 980024.61
31020552 39.70710000 -84.85440000 343.5 980024.36
31020552 39.72040000 -84.85440000 346.6 980023.20
31020015 39.70990000 -84.85330000 345.6 980023.88
31020015 39.73830000 -84.85330000 345.4 980024.65
31020489 40.54660000 -84.85330000 263.2 980139.70
31020552 39.53580000 -84.85330000 304.8 980047.50
31020552 39.70830000 -84.85210000 345.1 980023.78
31020552 39.71380000 -84.85190000 346.0 980023.53
31020552 39.71110000 -84.85180000 346.3 980023.55
31020552 39.80660000 -84.85030000 319.1 980035.03
31020552 39.72280000 -84.84940000 341.1 980024.77
31020552 39.70110000 -84.84910000 342.0 980024.81
31020552 39.71110000 -84.84860000 343.3 980024.22
31020015 39.72740000 -84.84830000 345.1 980024.06
31020015 39.77490000 -84.84830000 342.4 980026.62
31020489 39.10160000 -84.84830000 148.0 980004.20
31020489 39.71330000 -84.84830000 345.5 980023.90
31020489 40.74830000 -84.84830000 246.8 980159.50
31020552 40.52790000 -84.84830000 267.6 980137.10
31020552 39.70710000 -84.84780000 343.5 980024.30
31020015 40.54240000 -84.84660000 263.3 980140.20
31020363 38.38990000 -84.84660000 205.7 979936.00
31020566 39.31580000 -84.84660000 202.7 980036.37
31020552 39.68990000 -84.84610000 338.8 980026.81
31020552 39.71330000 -84.84540000 344.6 980024.03
31020489 40.88160000 -84.84490000 251.9 980189.00
31020552 40.22240000 -84.84360000 328.0 980088.08
31020552 40.35280000 -84.84330000 310.6 980116.75
31020552 39.72990000 -84.84240000 346.2 980023.72
31020015 40.30960000 -84.84160000 312.0 980107.30
31020489 40.31160000 -84.84160000 311.9 980107.10
31020552 39.72190000 -84.84040000 342.8 980024.53
31020552 39.69880000 -84.83990000 341.6 980025.49
31020552 40.64460000 -84.83990000 256.3 980146.45
31020566 39.18530000 -84.83990000 267.9 979996.27
31020552 39.70860000 -84.83960000 341.7 980024.92
31020552 39.71280000 -84.83960000 343.2 980024.22
31020552 40.58630000 -84.83960000 271.3 980139.47
31020566 39.27630000 -84.83790000 160.9 980038.56
31020552 40.42580000 -84.83460000 287.1 980125.33
31020552 40.41130000 -84.83440000 285.0 980125.92
31020015 39.74490000 -84.83330000 347.9 980024.25
31020552 39.63280000 -84.83330000 319.7 980045.78
31020552 39.66460000 -84.83330000 329.8 980036.00
31020552 39.74830000 -84.83330000 348.4 980024.49
31020552 39.77780000 -84.83330000 340.5 980027.81
31020552 39.81380000 -84.83190000 318.8 980035.58
31020713 38.82500000 -84.83170000 143.9 979996.70
31020489 40.00490000 -84.83160000 372.6 980045.70
31020713 38.87100000 -84.83150000 158.2 979993.50
31020015 40.00560000 -84.82990000 373.5 980045.88
31020489 39.62490000 -84.82990000 318.3 980047.50
31020489 39.90830000 -84.82990000 331.3 980042.10
31020552 40.44030000 -84.82990000 295.7 980124.98
31020552 40.54240000 -84.82860000 262.7 980140.64
31020015 40.02030000 -84.82830000 371.7 980048.02
31020489 40.09330000 -84.82830000 349.0 980062.30
31020552 40.45110000 -84.82780000 284.8 980127.50
31020015 40.09310000 -84.82660000 348.8 980063.07
31020489 40.66160000 -84.82660000 253.9 980148.50
31020552 40.47630000 -84.82630000 279.5 980129.76
31020552 39.68740000 -84.82580000 333.2 980029.92
31020713 38.79650000 -84.82530000 156.4 979992.50
31020015 40.16630000 -84.82490000 342.8 980074.67
31020552 40.32410000 -84.82460000 321.3 980107.26
31020552 40.27530000 -84.82440000 311.5 980100.99
31020552 39.70460000 -84.82360000 339.9 980025.88
31020552 39.71580000 -84.82360000 341.6 980024.78
31020015 40.31160000 -84.82330000 328.0 980103.12
31020363 38.58660000 -84.82330000 290.2 979941.40
31020489 39.25330000 -84.82330000 158.9 980035.10
31020566 39.49380000 -84.82210000 298.1 980047.12
31020552 40.39410000 -84.82080000 293.3 980124.24
31020552 39.55030000 -84.82040000 296.0 980055.05
31020552 40.51360000 -84.81960000 267.0 980136.09
31020552 39.86530000 -84.81940000 332.5 980035.85
31020552 40.44040000 -84.81910000 294.3 980126.38
31020552 40.43330000 -84.81880000 296.6 980125.92
31020713 38.89430000 -84.81870000 143.3 979997.10
31020489 41.07990000 -84.81660000 230.6 980204.50
31020566 39.42990000 -84.81660000 305.7 980038.79
31020566 41.70240000 -84.81630000 331.6 980218.39
31020552 39.50830000 -84.81580000 271.0 980055.14
31020552 40.41130000 -84.81580000 287.0 980127.41
31020552 40.42030000 -84.81580000 288.6 980127.67
31020552 40.42630000 -84.81540000 289.7 980125.59
31020015 39.74380000 -84.81490000 346.0 980024.65
31020552 39.59690000 -84.81490000 309.4 980054.16
31020552 40.35280000 -84.81490000 306.0 980117.64
31020552 39.72910000 -84.81360000 344.1 980024.45
31020552 40.44940000 -84.81160000 286.9 980128.99
31020015 40.54160000 -84.80990000 264.8 980141.27
31020329 39.83330000 -84.80990000 347.5 980032.02
31020552 40.42130000 -84.80940000 288.8 980128.10
31020552 39.90910000 -84.80790000 336.5 980040.29
31020552 40.43040000 -84.80710000 296.8 980126.50
31020036 41.77830000 -84.80660000 317.9 980226.48
31020552 40.44040000 -84.80660000 292.5 980127.98
31020552 40.43330000 -84.80630000 294.6 980126.90
31020713 38.85220000 -84.80620000 149.0 979996.00
31020552 40.42580000 -84.80610000 297.2 980126.41
