lat,lon,hieight,disturbancePotential,geoidHeight,gravityAnomal,gravityDisturbance
20,118,0,167.288,17.0732,-1.95563,3.29209
20,118.083,0,170.435,17.3943,-0.187447,5.15897
20,118.167,0,173.541,17.7114,1.32988,6.77375
20,118.25,0,176.553,18.0188,2.3192,7.85755
20,118.333,0,179.445,18.3139,2.66407,8.29313
20,118.417,0,182.223,18.5974,2.45183,8.16804
20,118.5,0,184.93,18.8737,1.96771,7.76883
20,118.583,0,187.628,19.1491,1.63814,7.52391
20,118.667,0,190.388,19.4308,1.93332,7.90567
20,118.75,0,193.262,19.7241,3.24943,9.31193
20,118.833,0,196.267,20.0308,5.7969,11.9537
20,118.917,0,199.374,20.3478,9.52159,15.7758
20,119,0,202.498,20.6667,14.0795,20.4317
20,119.083,0,205.515,20.9746,18.8746,25.3215
20,119.167,0,208.274,21.2562,23.1563,29.6897
20,119.25,0,210.625,21.4961,26.1575,32.7647
20,119.333,0,212.448,21.6822,27.2471,33.9115
20,119.417,0,213.678,21.8077,26.0624,32.7653
20,119.5,0,214.316,21.8728,22.5925,29.3155
20,119.583,0,214.437,21.8851,17.1926,23.9194
20,119.667,0,214.171,21.858,10.5207,17.2391
20,119.75,0,213.687,21.8087,3.40853,10.1118
20,119.833,0,213.158,21.7547,-3.30845,3.37819
20,119.917,0,212.73,21.7109,-8.96784,-2.29464
20,120,0,212.497,21.6872,-13.2246,-6.55868
20,120.083,0,212.491,21.6865,-16.1299,-9.46423
20,120.167,0,212.679,21.7058,-18.1244,-11.4527
20,120.25,0,212.988,21.7373,-19.9411,-13.2598
20,120.333,0,213.33,21.7722,-22.4356,-15.7436
20,120.417,0,213.643,21.8041,-26.3737,-19.6719
20,120.5,0,213.922,21.8325,-32.22,-25.5094
20,120.583,0,214.248,21.8659,-39.9718,-33.251
20,120.667,0,214.798,21.9219,-49.0769,-42.3389
20,120.75,0,215.826,22.0269,-58.4565,-51.6862
20,120.833,0,217.641,22.2122,-66.6377,-59.8105
20,120.917,0,220.552,22.5092,-71.9767,-65.0581
20,121,0,224.815,22.9443,-72.9351,-65.8828
20,121.083,0,230.577,23.5323,-68.3624,-61.1293
20,121.167,0,237.834,24.273,-57.7321,-50.2714
20,121.25,0,246.409,25.1482,-41.2881,-33.5584
20,121.333,0,255.948,26.1217,-20.0713,-12.0424
20,121.417,0,265.955,27.143,4.17995,12.5228
20,121.5,0,275.836,28.1514,29.2432,37.896
20,121.583,0,284.973,29.0839,52.7038,61.6432
20,121.667,0,292.79,29.8817,72.2782,81.4629
20,121.75,0,298.824,30.4976,86.1173,95.4912
20,121.833,0,302.78,30.9013,93.0409,102.539
20,121.917,0,304.555,31.0824,92.6699,102.224
20,122,0,304.248,31.0511,85.4395,94.9836
20,122.083,0,302.137,30.8357,72.4971,81.975
20,122.167,0,298.639,30.4787,55.5083,64.8765
20,122.25,0,294.254,30.0311,36.4076,45.6381
20,122.333,0,289.501,29.5461,17.1353,26.2168
20,122.417,0,284.869,29.0733,-0.596806,8.33934
20,122.5,0,280.765,28.6545,-15.48,-6.67261
20,122.583,0,277.489,28.3202,-26.7033,-17.9986
20,122.667,0,275.222,28.0887,-33.9651,-25.3315
20,122.75,0,274.026,27.9667,-37.4128,-28.8168
