------------
曲线要素
------------
 切线长T：505.144	曲线长L：906.597
外矢距E0：135.463	切曲差q：103.692
------------------------------------------
主点       里程         X            Y
------------------------------------------
  ZH    14401.662   144506.156    99986.531
  HZ    15308.259   145007.312    99303.461
  QZ    14854.960   144644.062    99562.336
  HY    14501.662   144514.203    99886.875
  YH    15208.259   144914.672    99341.055
-------------------------------------------
加密点     里程         X            Y
-------------------------------------------
   0    14000.000   144483.328   100387.547
   1    14010.000   144483.906   100377.562
   2    14020.000   144484.469   100367.578
   3    14030.000   144485.031   100357.594
   4    14040.000   144485.609   100347.609
   5    14050.000   144486.172   100337.625
   6    14060.000   144486.734   100327.641
   7    14070.000   144487.312   100317.656
   8    14080.000   144487.875   100307.672
   9    14090.000   144488.438   100297.688
  10    14100.000   144489.016   100287.703
  11    14110.000   144489.578   100277.727
  12    14120.000   144490.156   100267.742
  13    14130.000   144490.719   100257.758
  14    14140.000   144491.281   100247.773
  15    14150.000   144491.859   100237.789
  16    14160.000   144492.422   100227.805
  17    14170.000   144492.984   100217.820
  18    14180.000   144493.562   100207.836
  19    14190.000   144494.125   100197.852
  20    14200.000   144494.688   100187.867
  21    14210.000   144495.266   100177.883
  22    14220.000   144495.828   100167.898
  23    14230.000   144496.391   100157.914
  24    14240.000   144496.969   100147.930
  25    14250.000   144497.531   100137.945
  26    14260.000   144498.094   100127.969
  27    14270.000   144498.672   100117.984
  28    14280.000   144499.234   100108.000
  29    14290.000   144499.812   100098.016
  30    14300.000   144500.375   100088.031
  31    14310.000   144500.938   100078.047
  32    14320.000   144501.516   100068.062
  33    14330.000   144502.078   100058.078
  34    14340.000   144502.641   100048.094
  35    14350.000   144503.219   100038.109
  36    14360.000   144503.781   100028.125
  37    14370.000   144504.344   100018.141
  38    14380.000   144504.922   100008.156
  39    14390.000   144505.484    99998.172
  40    14400.000   144506.047    99988.188
  41    14410.000   144506.641    99978.203
  42    14420.000   144507.281    99968.234
  43    14430.000   144507.953    99958.250
  44    14440.000   144508.672    99948.281
  45    14450.000   144509.469    99938.305
  46    14460.000   144510.281    99928.344
  47    14470.000   144511.141    99918.383
  48    14480.000   144512.062    99908.430
  49    14490.000   144513.031    99898.484
  50    14500.000   144514.031    99888.531
  51    14510.000   144515.328    99878.617
  52    14520.000   144516.797    99868.727
  53    14530.000   144518.406    99858.852
  54    14540.000   144520.156    99849.008
  55    14550.000   144522.047    99839.188
  56    14560.000   144524.078    99829.398
  57    14570.000   144526.250    99819.641
  58    14580.000   144528.562    99809.906
  59    14590.000   144531.000    99800.211
  60    14600.000   144533.594    99790.547
  61    14610.000   144536.312    99780.930
  62    14620.000   144539.172    99771.352
  63    14630.000   144542.172    99761.812
  64    14640.000   144545.297    99752.305
  65    14650.000   144548.562    99742.859
  66    14660.000   144551.969    99733.461
  67    14670.000   144555.516    99724.109
  68    14680.000   144559.188    99714.805
  69    14690.000   144563.000    99705.562
  70    14700.000   144566.922    99696.359
  71    14710.000   144571.000    99687.227
  72    14720.000   144575.188    99678.148
  73    14730.000   144579.516    99669.133
  74    14740.000   144583.969    99660.180
  75    14750.000   144588.547    99651.297
  76    14760.000   144593.250    99642.469
  77    14770.000   144598.094    99633.719
  78    14780.000   144603.047    99625.031
